Status,EMR Name,Serial Number,Machine Product,Machine Model,Account: Account Name,Sub Call Type,PMAct Type,Subjects,Symptom,Caused of Problem,Branch / Site,Part Suply,Main Cause Part No,Part Description,Part Description.1,Techcare Component,Techcare Component.1,Techcare Sub Component,Techcare Sub Component.1,Created Date,EMR Last Closed Date,cluster_id,cluster_label,cluster_confidence
Closed,U-00009836,DBCH2032,KOMAT,PC200-10M0,PANCA PERKASA INDOPRIMA,Internal - Troubleshooting,TRS,TRS ENGINE PC200,DATA DATA DARI HASIL PENGECHECKAN 1.MUNCUL ERROR LEVE COOLANT DECREASE 2.COOLANT LEVEL DI BAWAH LEVEL 3.HOSE DAN TUBE COOLING SYSTEM TIDAK ADA YANG BOCOR 4.DITEMUKAN RADIATOR CORE ADA PENYOK TERKENA MATERIAL ASING,  DARI DATA DATA HASIL PENGECHECKAN DI ATAS PROBLEM ENGINE OVERHEAT DISEBABKAN KARENA COOLANT LEVEL DIBAWAH LEVEL HAL INI MENGAKIBATKAN SAAT ENGINE RUNNING DAN COOLANT BERSIRKULASI TIDAK BISA MENDINGINKAN SYSTEM KARENA BERKURANGNYA COLLANT SAAT BERSRIKULASI HAL INI MENGAKIBATKAN GAUGE TEMPERATURE ENGINE MENGARAH KEARAH MERAH.   HAL INI TERJADI KARENA MISS OPERATION YAITU RADIATOR CORE PENYOK AKIBAT TERKENA MATERIAL ASING AKIBATNYA COOLANT DI DALAM RADIATOR EKSTERNAL LEAK HAL INI MENYEBABKAN COOLANT LEVEL MENJADI DI BAWAH LEVEL SEHINGGA SAAT SAAT ENGINE RUNNING DAN COOLANT BERSIRKULASI MENJADI KURANG MAKSIMAL AKIBATNYA UNIT TIDAK BISA BISA BEROPERASI DENGAN MAKSIMAL.,BJM,0,20Y-03-56441,RADIATOR ASSY  ,RADIATOR ASSY   ,   ,RADIATOR, ,  CORE RADIATOR,2025-02-26,2025-03-03,1,Fuel System Issues,0.9
Closed,U-00019077,DBCH3069,KOMAT,PC200-10M0,AMEERA BINTANG TIMUR,Internal - Troubleshooting,TRS,TRS ENGINE PC200_DBCH3069_AMEERA BINTAN,RADITOR & FAN BROKEN,KIPAS TERKENA FOREIGN MATERIAL SEHINGGA PECAH DAN MENGENAI CORE RADIAOTR,PLU,0,20Y-03-61111,FAN RADIATOR  ,FAN RADIATOR   ,   ,, ,,2026-01-19,2026-02-02,1,Fuel System Issues,0.9
Closed,U-00011298,DBCH2417,KOMAT,PC200-10M0,TOMBROK JAYA PERMAI,Internal - Troubleshooting,TRS,TRS ENGINE PC200,DATA DATA DARI HASIL PENGECHECKAN 1.TIDAK ADA ERROR DI MONITOR 2.TEMPERTURE SENDOR NORMAL 3.COOLANT LEVEL KONDISI DI BAWAH LOW 4.RADIATOR BOCOR DAN DI TEMUKAN BEKAS TERBENTUR BENDA ASING (KIPAS).,"DARI DATA DATA HASIL PENGECHECKAN DI ATAS PROBLEM ENGINE OVERHEAT DI SEBABKAN KARENA COOLANT LEVEL DI POSISI LOW HAL INI MENGAKIBATKAN COOLANT SYSTEM TIDAK MAKSIMAL MENDINGINKAN ENGINE SAAT UNIT BEROPERASI,COOLANT LEVEL DI BAWAH LEVEL KARENA ADANYA KEBOCORAN DI RADIATOR SEHINGGA COOLANT DI SYSTEM EKSTERNAL LEAK.   HAL INI TERJADI KARENA MISS OPERATION YAITU RADIATOR LEAK,RADIATOR BERLUBANG KARENA ADANYA BEKAS PUTARAN FAN YANG PATAH SAAT UNIT POSISI TENGGELAM HAL INI MENGAKIBATKAN KEBOCORAN COOLANT YANG BERSIRKULASI DI RADIATOR SEHINGGA COOLING SYSTEM KURANG MAKSIMAL DALAM MENDINGINKAN ENGINE SAAT UNIT BEROPERASI KARENA COOLANT DI DALAM RADIATOR BOCOR KELUAR MELALUI LUBANG BEKAS TERKENA FAN YANG PATAH HAL INI MENGAKIBATKAN UNIT TIDAK BISA BEROPERASI DENGAN MAKSILAM ATAU BREAKDOWN.",BJM,0,20Y-03-61111,RADIATOR  ,RADIATOR   ,   ,RADIATOR, ,  COOLING FAN,2025-04-25,2025-04-29,1,Fuel System Issues,0.9
Closed,U-00011255,DBCH2443,KOMAT,PC200-10M0,ROSWELL KARYA ABADI,Internal - Unschedule Breakdown,USW,RI FAN RADIATOR PC200,FAN BROKEN DAN RADIATOR LEAK,"*DATA OPERASI : 1. Unit belum dilakukan delivery dan posisi running di atas LCT ketika akan unloading 2. Posisi unit di pelabuhan ex shipment dari JKT to Bouven Merauke HASIL PEMERIKSAAN/PENGUKURAN : *CUSTOMER VOICE : 1. Saat unit akan turun dari LCT tiba tiba ada suara nois dari arah engine room dan temperatur engine naik 2. Kemudian engine dimatikan dan ditemukan Fan Radiator pecah dan radiator leaks 3. Ditemukan Kucing kondisi mati karena terkena fan radiator HYSTORICAL RECORD : 1. Unit PT Rosewell Karya Abadi pengiriman dari UT JAKARTA dengan armada LCT 2. Shipment by marketing UT Jakarta 3. Proses unloading ada kucing masuk ke area Fan Radiator posisi diatas LCT 4. Engine running kucing terkena fan radiator dan blade Fan broken *COLLECT DATA / DIAGNOSTIC : 1. Unloading by Customer di tanggal 25-02-2025 ( problem fan radiator broken karena ada kucing ) 2. Tanggal 03-03-2025 dilakukan pengechekan by mekanik UT ( terkendalah lokasi unit, signal dan prioritas delivery unit yg lain karena harus segera mobilisasi dari pelabuhan ) 3. Kondisi Fan Radiator broken pada fan blade di semua bladenya 4. Radiator leaks karena terkena meterial pecahan fan blade 5. Posisi unit breakdown di pelabuhan Tullent Area Bouven 6. HM unit 11,0 hours dan saat itu posisi belum dilakukan delivery by UT 7. Radiator coolant level low karena leak dari core radiator *ANALISA : Dari hasil temuan dilapangan bahwa Kucing yang masuk di dalam area engine room dan masuk ke area radiator dimana ada fan engine mengakibatkan saat engine di running mengakibatkan benturan antara kucing dan Fan blade radiator. Hal ini mengakibatkan fan blade broken karena material Fan yang terbuat dari plastik. Pecahan material Fan Blade menghantam radiator core sehingga terjadi coolant leaks dari radiator core. Saat dilakukan delivery posisi unit break down LANGKAH PERBAIKAN : 1. Lakukan penggantian Fan Radiator 2. Lakukan penggantian Radiator Core 3. Lakukan penggantian Coolant Radiator NOTE : LANJUTAN EMR U-00010112",JYP,1,20Y-03-61111,RADIATOR ASSY  ,RADIATOR ASSY   ,   ENGINE & RELATED SYSTEM ,ENGINE & RELATED SYSTEM, Engine Related-Parts, Engine Related-Parts ,2025-04-24,2025-05-06,1,Fuel System Issues,0.9
Closed,U-00016557,DBCH1694,KOMAT,PC200-10M0,INDO PRIMA LESTARIJAYA,Internal - Unschedule Breakdown,USW,Penambahan Fuel Filtration PC200 E522,Penambahan Fuel Filtration PC200,Engine sering muncul problem low power yang disebabkan kebuntuan fuel filter sebagai akaibat dari penggunaan fuel B40,SKL,1,20Y-04-56121,BRACKET  ,BRACKET   ,   ,, ,,2025-10-25,2025-10-28,1,Fuel System Issues,0.9
Closed,U-00018945,J10121,KOMAT,PC200-10M0,MULTI BERKAT SUKSES SEJAHTERA,Internal - Troubleshooting,TRS,TRS ENGINE CAN'T RUNNING PC200 MBSS,HOSE FUEL TANK CLOGGING, DATA HYSTORICAL UNIT : - UNIT STANDBY 3 BULAN SETELAH INSIDEN - TEKANAN RAIL PRESSURE 21 KG/CM2 - UNIT JARANG DI HIDUPKAN ANALISA KERUSAKAN : - DI TEMUKAN HOSE DARI FUEL TANK KE ELEMENT RACOR BUNTU AKIBAT KOTORAN,MDO,0,20Y-04-61240,FUEL TANK  ,FUEL TANK   ,   ,, ,,2026-01-13,2026-01-19,1,Fuel System Issues,0.9
Closed,U-00008777,DBCH1592,KOMAT,PC200-10M0,PEMUDA TRAKTOR INDONESIA,Internal - FC Modification,TRS,TRS ENG PC200_DBCH1592_PEMUDA TRAKTOR IN,Fuel system clogging,"Dapat laporan dari customer bahwa unitnya low power, Setelah kita analisa dan inspection unit low power dikarenakan fuel filter buntu,",PLU,0,20Y-04-J1130,CARTRIDGE  ,CARTRIDGE   ,   ,FUEL FILTER, ,  CARTRIDGE,2025-01-15,2025-01-18,1,Fuel System Issues,0.9
Assign TO,U-00021490,DBCH3449,KOMAT,PC200-10M0,JUFRI KASI,Internal - Troubleshooting,TRS,TRS ENGINE PC200,Engine Low power disebabkan karena engine speed ketika relief tidak mencapai standart,Engine Low power ini disebabkan karena fuel filter mengalami kebuntuan sehingga supply ke common rail tidak seusai dengan kebutuhan engine,SRG,0,20Y-04-J1130,CARTRIDGE  ,CARTRIDGE   ,   ,, ,,2026-04-17,,1,Fuel System Issues,0.9
Closed,U-00000292,DBCH1382,KOMAT,PC200-10M0,BANYUASIN NUSANTARA SEJAHTERA,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200_PT. BANYUASIN,Engine Low power,Fuel system clogged,BLG,0,20Y-04-J1130,CARTRIDGE PC195-8/PC210-10M0  ,CARTRIDGE   ,   ,HYDRAULIC SYSTEM, ,,2024-02-19,2024-03-16,1,Fuel System Issues,0.9
Closed,U-00005179,DBCH1568,KOMAT,PC200-10M0,AMSAR,Internal - Troubleshooting,TRS,TRS ENGINE_PC200_DBCH1568_AMSAR,ENGINE LOW POWER,FUEL SYSTEM ABNORMAL,PLU,0,20Y-04-J1130,CATRIDGE  ,CATRIDGE   ,   ,, ,,2024-08-31,2024-09-04,1,Fuel System Issues,0.9
Closed,U-00008917,DBCH1794,KOMAT,PC200-10M0,AMANAH BORNEO DUA SAUDARA,Internal - Troubleshooting,TRS,TRS ENGINE PC200-10MO DBCH1794 ABDS,ENGINE STALL AR WORKING,SETELAH DILAKUKAN PENGECHEKKAN TERDAPAT KOTORAN PADA FUEL TANK SEHINGGA MENGAKIBATKAN KEBUNTUAN PADA FUEL FILTER DAN FUEL SYSTEM LAINYA. NOTE: CUSTOMER BELI SENDIRI UNTUK FUEL FILTERNYA,JYP,0,20Y-04-J1130,ELEMENT  ,ELEMENT   ,   ENGINE & RELATED SYSTEM ,ENGINE & RELATED SYSTEM, Fuel, Fuel ,2025-01-22,2025-02-17,1,Fuel System Issues,0.9
